TM - Harmonized Term,Bloqueado por,Bloqueando,Country,Data,ID,Property is linked to EU terms or other Harmonized Terms,Related FB:properties,Rollup,Subitem,TC - Adopted definition,TC - Article ID (it depends of the country),TC - Expert Definition (English),TC - Expert Definition (Native Language)),TC - Explicit Definition (English),"TC - Explicit Definition (Native Language) ",TC - FB:Domains,TC - Fire Expert Entity,TC - Fire Expert Guidance,TC - Implicit Definition  (English),TC - Implicit Definition  (Native Language),TC - Last Edition,TD - Comment IFC,TD - IFC Entity,TD - Mapping IFC,TD - Type,TD - Unit,TD - Value,TM - Designators,TM - Equivalent Term,TM - FB:documents,TM - Fire Expert Validation,TM - Name (English),TM - Name (native language),TM - Remarks,TR - Code,TR - Definition (English),TR - Definition (Native Language),TR - Derivation,TR - Domain,TR - Domains,TR - FB:articles,TR - FB:articles (WIP),TR - ISO definition,TR - Interpretation level,TR - Language,TR - Remarks,TR - SO Term IRI,TR - Status,item principal
UseableAreaCantileveredBuildingPart,,,Netherlands (https://www.notion.so/Netherlands-154f8487e6e7804d835ad9835abb2a3c?pvs=21),,227,,,,,Implicit Definition,NEN2580:2007,NA,NA,NA,NA,0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21),NA,NA,Centileverd building part,Uitspringend bouwdeel,"January 6, 2026 1:14 PM",,,,property,m²,Number,NA,NA,NEN 2580:2007/C1:2008  (https://www.notion.so/NEN-2580-2007-C1-2008-233f8487e6e780aa842fddf4adeb9ecd?pvs=21),Yes,"Cantilevered building part ",Uitkragend bouwdeel,NA,,usable area of projecting building area,gebruiksoppervlak van uitspringend bouwdeel,,Fire Compartment area,0. BUILDING INFORMATION,,,,Definition found on local regulation document,nl-NL,link to “useable area”,NA,To be reviewed,
UseableAreaRingHole,,,Netherlands (https://www.notion.so/Netherlands-154f8487e6e7804d835ad9835abb2a3c?pvs=21),,264,,,,,Explicit Definition,NEN2580:2007,NA,NA,"The free, open area in a stairwell, or the hole formed by the inner stringers of a staircase","Het vrije, open gedeelte in een trappenhuis, ofwel het gat dat door de binnenbomen van een trap gevormd wordt","1. COMPARTMENTATION (https://www.notion.so/1-COMPARTMENTATION-24ef8487e6e7808d892ec82164849ae4?pvs=21), 1.1 Compartment Size (https://www.notion.so/1-1-Compartment-Size-24ef8487e6e780bab878d5d61d71922b?pvs=21)",NA,NA,NA,NA,"January 6, 2026 1:14 PM",,,,property,m²,Number,NA,NA,NEN 2580:2007/C1:2008  (https://www.notion.so/NEN-2580-2007-C1-2008-233f8487e6e780aa842fddf4adeb9ecd?pvs=21),Yes,"Ring hole ",Schalmgat,NA,,"Usable
  Area of Ring hole","gebruiksoppervlakte
  van schalmgat",,Fire Compartment area,Generic,,,,Definition found on local regulation document,nl-NL,link to “useable area”,NA,To be reviewed,
UseableAreaStairwell,,,Netherlands (https://www.notion.so/Netherlands-154f8487e6e7804d835ad9835abb2a3c?pvs=21),,251,,,,,Implicit Definition,NEN2580:2007,NA,NA,NA,NA,"1. COMPARTMENTATION (https://www.notion.so/1-COMPARTMENTATION-24ef8487e6e7808d892ec82164849ae4?pvs=21), 1.1 Compartment Size (https://www.notion.so/1-1-Compartment-Size-24ef8487e6e780bab878d5d61d71922b?pvs=21)",NA,NA,Stairwell,Trapgat,"January 6, 2026 1:14 PM",,,,property,m²,Number,NA,NA,NEN 2580:2007/C1:2008  (https://www.notion.so/NEN-2580-2007-C1-2008-233f8487e6e780aa842fddf4adeb9ecd?pvs=21),Yes,Stairwell,Trapgat,NA,,usable area of stairwell,gebruiksoppervlakte van trapgat,,Fire Compartment area,"1.1 Compartment Size, Generic",,,,Definition found on local regulation document,nl-NL,link to “useable area”,NA,To be reviewed,
LoadBearing,,,Netherlands (https://www.notion.so/Netherlands-154f8487e6e7804d835ad9835abb2a3c?pvs=21),,256,,,,,Explicit Definition,"NEN 2580:2007/C1:2008 ",NA,NA,"To support the roof or floor(s) above, with a structural function","Het dak of verdieping(en) erboven dragend, met een constructieve functie","1. COMPARTMENTATION (https://www.notion.so/1-COMPARTMENTATION-24ef8487e6e7808d892ec82164849ae4?pvs=21), 1.1 Compartment Size (https://www.notion.so/1-1-Compartment-Size-24ef8487e6e780bab878d5d61d71922b?pvs=21)",NA,NA,NA,NA,"January 6, 2026 1:14 PM",,,,property,[-],Boolean (yes/no),NA,NA,NEN 2580:2007/C1:2008  (https://www.notion.so/NEN-2580-2007-C1-2008-233f8487e6e780aa842fddf4adeb9ecd?pvs=21),Yes,Load-bearing,Dragend ,NA,,"to support the roof or floor(s) above, with a
  structural function","de dak of verdieping(en) erboven dragen, met een
  constructieve functie",,"Fire Compartment ","0. BUILDING INFORMATION, 1.1 Compartment Size",,,,Interpretation made by the fire safety expert,nl-NL,NA,NA,To be reviewed,
BuildingFunctionalFireUnit,,,Denmark (https://www.notion.so/Denmark-154f8487e6e7807dab05d78601958862?pvs=21),,271,,,,,Explicit definition,BR18-VK5-D01,NA,NA,"A building, or part of a building, in which the existing fire
risk conditions indicated by use category(ies) and risk class are
similar. A Functional Fire Unit shall be assigned to one or more use
categories, but only one risk class.
A Functional Fire Unit may consist of one or more rooms, and a Functional Fire Unit
also includes supporting functions such as corridors, kitchens,
storage rooms, technical rooms, toilet rooms, bathrooms or similar, which are
directly related to the function of the Functional Fire Unit.
A Functional Fire Unit can be organised as one or more fire compartments and must have access to associated escape routes.","Bygning, eller del af en bygning, hvori de tilstedeværende brandmæssige
risikoforhold angivet ved anvendelseskategori(er) og risikoklasse er sammenlignelige. Et bygningsafsnit skal henføres til én eller flere anvendel
seskategorier, men kun én risikoklasse.
Et bygningsafsnit kan bestå af ét eller flere rum, og til et bygningsafsnit
hører også understøttende funktioner som for eksempel gange, køkken,
depotrum, teknikrum, toiletrum, baderum eller lignende, som har di
rekte tilknytning til bygningsafsnittets funktion.
Et bygningsafsnit kan indrettes som én eller flere brandsektioner, og skal
have adgang til tilknyttede flugtveje.","1. COMPARTMENTATION (https://www.notion.so/1-COMPARTMENTATION-24ef8487e6e7808d892ec82164849ae4?pvs=21), 1.2 Fire Compartment Boundary (https://www.notion.so/1-2-Fire-Compartment-Boundary-24ef8487e6e7800cb8eff096b2eb36ac?pvs=21)",NA,NA,NA,NA,"January 6, 2026 1:13 PM",,,,object,[-],,,"Building compartment, Building section",BR18-VK5-D01 (https://www.notion.so/BR18-VK5-D01-151f8487e6e78027ae43d31f9e6122ed?pvs=21),Yes,Functional Fire Unit,Bygningsafsnit,NA,,,,,,"1. COMPARTMENTATION, 1.2 Fire Compartment boundary",,,,,dk-DK,,NA,,
HeightBuilding,,,Lithuania (https://www.notion.so/Lithuania-200f8487e6e780d687f2f2bfcf03c6d4?pvs=21),,274,,,,,Explicit Definition,"Annex 3, Paragraph 1.",NA,NA,"height from the lowest surface elevation of the building to the access route for firefighting and rescue vehicles, and where access for firefighting and rescue vehicles is not required, from the lowest surface elevation of the portable fire ladders to the floor elevation of the highest storey (including attic) of the building (fire compartment), m.","aukštis nuo gaisrų gesinimo ir gelbėjimo automobilių privažiavimo prie statinio žemiausios paviršiaus altitudės, o kai gaisrų gesinimo ir gelbėjimo automobilių privažiavimo įrengti nebūtina, – nuo nešiojamųjų gaisrinių kopėčių pastatymo žemiausios paviršiaus altitudės iki statinio (gaisrinio skyriaus) aukščiausio aukšto (įskaitant mansardinį) grindų altitudės, m.","1. COMPARTMENTATION (https://www.notion.so/1-COMPARTMENTATION-24ef8487e6e7808d892ec82164849ae4?pvs=21), 1.1 Compartment Size (https://www.notion.so/1-1-Compartment-Size-24ef8487e6e780bab878d5d61d71922b?pvs=21), 0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21)",NA,NA,NA,NA,"January 6, 2026 1:10 PM",,,,property,m,Number,H,NA,GAISRINĖS SAUGOS PAGRINDINIAI REIKALAVIMAI Nr. 1-338 (https://www.notion.so/GAISRIN-S-SAUGOS-PAGRINDINIAI-REIKALAVIMAI-Nr-1-338-202f8487e6e78025b680ee2c9cc21e51?pvs=21),Yes,Height of building,Pastato aukštis,NA,,,,,Compartmentation,"0. BUILDING INFORMATION, 1. COMPARTMENTATION, 1.1 Compartment Size",,,,,lt-LT,,NA,To be reviewed,
AreaFireCompartment,,,Lithuania (https://www.notion.so/Lithuania-200f8487e6e780d687f2f2bfcf03c6d4?pvs=21),,273,,,,,Explicit Definition,"Chapter X, Paragraph 51.",NA,NA,"the area of the largest floor of the building. If the building has interconnected spaces between floors (atriums, openings, type 2 staircases, etc.), the areas of all interconnected floors shall be added together when determining the area of the fire compartment. When the maximum area of a fire compartment is exceeded, two or more separate fire compartments shall be formed, separated by fire compartment walls and/or floors. If there are rooms of different purposes or rooms that are dangerous in terms of explosion and fire in a fire compartment, the area of the fire compartment shall be determined according to the purpose of the rooms occupying more than 50% of the total area of the rooms. If there are rooms of different purposes in a fire compartment, not exceeding 50% of the total area of the rooms, the maximum area of the fire compartment Fg shall be determined according to the indicators of the purpose that occupies the largest part of the fire compartment. ","didžiausią plotą turintis statinio aukšto plotas. Jeigu statinyje yra susisiekiančių tarpaukštinių erdvių (atriumai, angos, 2 tipo laiptai ir pan.), nustatant statinio gaisrinio skyriaus plotą, visų susisiekiančių aukštų plotai sumuojami. Kai viršijamas didžiausias gaisrinio skyriaus plotas, turi būti formuojami du ir daugiau atskiri gaisriniai skyriai, kurie atskiriami gaisrinių skyrių atskyrimo sienomis ir (arba) perdangomis. Jeigu gaisriniame skyriuje yra skirtingos paskirties arba sprogimo ir gaisro atžvilgiu pavojingų patalpų, gaisrinio skyriaus plotas nustatomas pagal daugiau kaip 50 proc. bendro patalpų ploto užimančių patalpų paskirtį. Jeigu gaisriniame skyriuje yra kelių paskirčių patalpų, neviršijančių 50 proc. bendro patalpų ploto, gaisrinio skyriaus didžiausias plotas Fg nustatomas pagal tos paskirties rodiklius, kurie užima didžiausią gaisrinio skyriaus dalį. ","1.1 Compartment Size (https://www.notion.so/1-1-Compartment-Size-24ef8487e6e780bab878d5d61d71922b?pvs=21), 1. COMPARTMENTATION (https://www.notion.so/1-COMPARTMENTATION-24ef8487e6e7808d892ec82164849ae4?pvs=21)",NA,NA,NA,NA,"January 6, 2026 1:10 PM",,,,property,m^2,Number,Fg,NA,GAISRINĖS SAUGOS PAGRINDINIAI REIKALAVIMAI Nr. 1-338 (https://www.notion.so/GAISRIN-S-SAUGOS-PAGRINDINIAI-REIKALAVIMAI-Nr-1-338-202f8487e6e78025b680ee2c9cc21e51?pvs=21),Yes,"Fire compartment area ",Gaisrinio skyriaus plotas,NA,,,,,,"1. COMPARTMENTATION, 1.1 Compartment Size",,,,,lt-LT,,NA,To be reviewed,
MaximumAreaOfFireCompartment,,,Lithuania (https://www.notion.so/Lithuania-200f8487e6e780d687f2f2bfcf03c6d4?pvs=21),,272,,,,,Explicit Definition,"Annex 3, Paragraph 1.",NA,NA,The area of the fire compartment is determined according to the formula Fg = Fs·G·cos(90KH),gaisrinio skyriaus plotas nustatomas pagal formulę Fg = Fs·G·cos(90KH),"1. COMPARTMENTATION (https://www.notion.so/1-COMPARTMENTATION-24ef8487e6e7808d892ec82164849ae4?pvs=21), 1.1 Compartment Size (https://www.notion.so/1-1-Compartment-Size-24ef8487e6e780bab878d5d61d71922b?pvs=21)",NA,NA,NA,NA,"January 6, 2026 1:10 PM",,,,property,m^2,Number,NA,NA,,Yes,Maximum area of fire compartment,Maksimalus gaisrinio skyriaus plotas,NA,,,,,,"1. COMPARTMENTATION, 1.1 Compartment Size",,,,,lt-LT,,NA,To be reviewed,
ActiveFireProtection,,,Denmark (https://www.notion.so/Denmark-154f8487e6e7807dab05d78601958862?pvs=21),,275,ActiveFireProtection (https://www.notion.so/ActiveFireProtection-df327ba2a2024353acf06ef6fc2d3c2d?pvs=21),,,"EmergencyExitLighting (https://www.notion.so/EmergencyExitLighting-151f8487e6e78023ac14c6411927a763?pvs=21), EmergencyPanicLights (https://www.notion.so/EmergencyPanicLights-151f8487e6e7801e959bf123e1cb9c1a?pvs=21), AutomaticFireAlarmsystem (https://www.notion.so/AutomaticFireAlarmsystem-151f8487e6e780acb6a2ed6a6e96ab25?pvs=21), AutomaticFireSprinklersystem (https://www.notion.so/AutomaticFireSprinklersystem-151f8487e6e78089ab55f08e806a900a?pvs=21), AutomaticFireVentilationsystem (https://www.notion.so/AutomaticFireVentilationsystem-151f8487e6e780c0a14bd2c7b78f60bc?pvs=21)",Implicit definition,NA,NA,NA,NA,NA,"2.  EVACUATION (https://www.notion.so/2-EVACUATION-24ef8487e6e780c5a41adabca41a0153?pvs=21), 1. COMPARTMENTATION (https://www.notion.so/1-COMPARTMENTATION-24ef8487e6e7808d892ec82164849ae4?pvs=21), 0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21)",NA,NA,"Active fire protection includes all technical installations and systems used to detect, warn of, and suppress/contain fire in a building. It is equipment that actively responds to fire","Aktiv brandsikring omfatter alle tekniske installationer og systemer, der bruges til at registrere, advare om, og bekæmpe brand i en bygning. Det er udstyr, der reagerer aktivt ved brand","January 6, 2026 1:13 PM",,,,,,,,NA,,Yes,Active fire protection,Aktiv brandsikringsanlæg,NA,,,,,,"0. BUILDING INFORMATION, 1. COMPARTMENTATION, 2. EVACUATION",,,,,dk-DK,,NA,,
AreaRefugeSpace,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,277,,,,,Explicit Definitin,n.º 3 do art.º 68º do RT-SCIE,NA,NA,"A refuge area must have a value, in m2, of no less than the effective area of the sites it serves, multiplied by the index 0.2.","Uma zona de refúgio deve possuir uma área de valor, em m2, não inferior ao efetivo dos locais que serve, multiplicado pelo índice 0,2.","0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21), 1.2 Fire Compartment Boundary (https://www.notion.so/1-2-Fire-Compartment-Boundary-24ef8487e6e7800cb8eff096b2eb36ac?pvs=21), 1.1 Compartment Size (https://www.notion.so/1-1-Compartment-Size-24ef8487e6e780bab878d5d61d71922b?pvs=21), 1. COMPARTMENTATION (https://www.notion.so/1-COMPARTMENTATION-24ef8487e6e7808d892ec82164849ae4?pvs=21)",,NA,NA,NA,"January 6, 2026 1:13 PM",,,,property,m2,Number,NA,NA,Regulamento Técnico de Segurança Contra Incêndio em Edifícios (https://www.notion.so/Regulamento-T-cnico-de-Seguran-a-Contra-Inc-ndio-em-Edif-cios-197f8487e6e78004900fcc8c7f0257ea?pvs=21),Yes,Area of refuge space,Área da zona de refúgio,NA,,"ALREADY COPIED

A refuge area must have a value, in m2, of no less than the effective area of the sites it serves, multiplied by the index 0.2.","ALREADY COPIED

Uma zona de refúgio deve possuir uma área de valor, em m2, não inferior ao efetivo dos locais que serve, multiplicado pelo índice 0,2.",,Fire Compartment,"0. BUILDING INFORMATION, 1. COMPARTMENTATION, 1.1 Compartment Size, 1.2 Fire Compartment boundary",,,,Definition found on local regulation document,pt-PT,,NA,,
HeightStackingRack,,,Denmark (https://www.notion.so/Denmark-154f8487e6e7807dab05d78601958862?pvs=21),,281,,,,,Explicit definition,BR18-VK5-B10-1.4.3,NA,NA,Stacking height is defined as the distance from the top of the floor in a room to the top edge of storage,Stablingshøjden er defineret som afstanden fra gulvets overside i et rum til overkanten af oplag,"1. COMPARTMENTATION (https://www.notion.so/1-COMPARTMENTATION-24ef8487e6e7808d892ec82164849ae4?pvs=21), 1.1 Compartment Size (https://www.notion.so/1-1-Compartment-Size-24ef8487e6e780bab878d5d61d71922b?pvs=21)",NA,NA,NA,NA,"January 6, 2026 1:13 PM",,,,property,m,Number,,"Shelf height, Bookcase height",,Yes,Stacking height,Stablingshøjde,NA,,,,,,"1. COMPARTMENTATION, 1.1 Compartment Size",,,,,dk-DK,,NA,,
SafeZone,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,280,,,,," Explicit Definition",n.º 19 do art.º 4º do Anexo I do RT-SCIE ,NA,NA,"Assembly point located outside the building, where occupants can safely gather, protected from the direct effects of a fire within the building.","Local, no exterior do edifício, onde as pessoas se possam reunir, protegidas dos efeitos diretos de um incêndio naquele.","0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21), 2.  EVACUATION (https://www.notion.so/2-EVACUATION-24ef8487e6e780c5a41adabca41a0153?pvs=21)",RT-SCIE,NA	,NA,NA,"January 6, 2026 1:13 PM",,,,property,-,,NA,NA,Regulamento Técnico de Segurança Contra Incêndio em Edifícios (https://www.notion.so/Regulamento-T-cnico-de-Seguran-a-Contra-Inc-ndio-em-Edif-cios-197f8487e6e78004900fcc8c7f0257ea?pvs=21),Yes,Safe Zone,Zona de segurança,NA,,"ALREDY COPIED

Compartment, room, space or area of a building or enclosureAssembly point located outside the building, where occupants can safely gather, protected from the direct effects of a fire within the building.","ALREADY COPIED

Local, no exterior do edifício, onde as pessoas se possam reunir, protegidas dos efeitos diretos de um incêndio naquele.",,Generic,"0. BUILDING INFORMATION, 2. EVACUATION",,,,Definition found on local regulation document,pt-PT,,NA,,
FireCompartment,,,Europe (https://www.notion.so/Europe-154f8487e6e7801196f5c873882636a5?pvs=21),,279,"FireCompartmentSubcompartment (https://www.notion.so/FireCompartmentSubcompartment-151f8487e6e7807e9a2ff97037e84332?pvs=21), FireSafetyUnit (https://www.notion.so/FireSafetyUnit-22cf8487e6e780aeafdecff79690eebc?pvs=21), FireCompartment (https://www.notion.so/FireCompartment-151f8487e6e78099a790f6834c50080d?pvs=21)",,,,Explicit definition,,NA,NA,NA,"(this content has copy right, will be removed after WIP stage) “Enclosed space, which may be subdivided, separated from adjoining spaces by fire barriers” https://www.iso.org/obp/ui/#iso:std:iso:13943:ed-4:v1:en:term:3.144",,NA,NA,NA,NA,"November 12, 2025 4:14 PM",,,,,,,NA,,ISO 13943:2023 Fire safety — Vocabulary (https://www.notion.so/ISO-13943-2023-Fire-safety-Vocabulary-2a7f8487e6e780deb79dde071802ee9e?pvs=21),No,Fire Compartment,Fire Compartment,,,"space within a building, extending over one or several floors, which is enclosed by separating elements such that fire spread beyond the compartment is prevented during the relevant fire exposure",,,Compartmentation,,,,,,,,https://www.iso.org/obp/ui/#iso:std:iso:13943:ed-4:v1:en:term:3.144,,
FireCompartment,,,Belgium (https://www.notion.so/Belgium-154f8487e6e780a1a22ae8e619a4f749?pvs=21),,278,,AreaFireCompartment (https://www.notion.so/AreaFireCompartment-151f8487e6e78046a43eef0ac3bf15ff?pvs=21),,,Expert definition,"Annex 1 - Artikel 1.6 + Annex 2/1, 3/1, 4/1 -  Artikel 2.1",NA,NA,"Part of a building bounded by walls that serve to prevent the spread of fire to the adjacent compartment or compartments for a certain period of time. A compartment may or may be not divided into rooms. ","deel van een gebouw begrensd door wanden die de brandvoortplanting naar het aanliggende compartiment of compartimenten gedurende een bepaalde tijd dienen te beletten. Een compartiment is al dan niet onderverdeeld in lokalen. ","1. COMPARTMENTATION (https://www.notion.so/1-COMPARTMENTATION-24ef8487e6e7808d892ec82164849ae4?pvs=21), 1.0 Assign Compartment (https://www.notion.so/1-0-Assign-Compartment-24ef8487e6e78092adc5dcef0dc14e37?pvs=21)",NA,,NA,NA,"January 22, 2026 10:58 AM",,,,,,,,,"KB/AR App1 - Terminology (https://www.notion.so/KB-AR-App1-Terminology-113f8487e6e780ca9e56d15ff2ec702b?pvs=21), KB/AR App2/1 - Low-rise Buildings (https://www.notion.so/KB-AR-App2-1-Low-rise-Buildings-7131e3ebbbc84acea0478495c9c32403?pvs=21), KB/AR App3/1 - Medium-rise Buildings (https://www.notion.so/KB-AR-App3-1-Medium-rise-Buildings-2aab30c644cf4e61a9a41a180bd9f74b?pvs=21), KB/AR App4/1 - High-rise Buildings (https://www.notion.so/KB-AR-App4-1-High-rise-Buildings-899bc6bbf6c3419a8343b01a95caaf92?pvs=21)",No,Compartment,Compartiment,,,part of a building bounded by walls that serve to prevent the spread of fire to the adjacent compartment or compartments for a certain period of time. A compartment may or may not be divided into rooms.,,,,"1. COMPARTMENTATION, 1.0 Assign compartment",,,,,,,NA,,
